"106年06月03日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,674.52","+","14.30","0.12",
"發行量加權股價指數","10,158.15","+","5.62","0.06",
"臺灣公司治理100指數","5,715.59","-","5.33","-0.09",
"臺灣50指數","7,709.18","-","2.85","-0.04",
"臺灣中型100指數","7,063.37","+","19.13","0.27",
"臺灣資訊科技指數","9,423.63","+","3.61","0.04",
"臺灣發達指數","8,682.73","-","6.24","-0.07",
"臺灣高股息指數","5,876.11","+","6.60","0.11",
"臺灣就業99指數","5,927.71","+","5.92","0.10",
"臺灣高薪100指數","5,614.83","+","0.69","0.01",
"臺灣低波動高股息指數","1,463.95","+","1.91","0.13",
"未含金融保險股指數","8,658.69","+","3.02","0.03",
"未含電子股指數","13,607.87","+","2.14","0.02",
"未含金融電子股指數","11,734.32","-","6.65","-0.06",
"小型股300指數","6,028.70","+","26.06","0.43",
"漲升股利150指數","5,829.98","-","2.31","-0.04",
"漲升股利100指數","5,813.83","-","2.94","-0.05",
"藍籌30指數","5,336.02","+","1.62","0.03",
"工業菁英30指數","5,561.41","+","15.85","0.29",
"電子菁英30指數","5,624.61","+","12.52","0.22",
"低波動精選30指數","5,269.65","-","1.09","-0.02",
"低貝塔100指數","5,366.34","-","6.78","-0.13",
"中小型精選50指數","5,077.98","+","9.97","0.20",
"中小型A級動能50指數","5,509.43","+","46.10","0.84",
"藍籌30反向一倍指數","9,337.35","-","2.84","-0.03",
"水泥窯製類指數","438.73","+","1.38","0.32",
"塑膠化工類指數","850.53","+","2.29","0.27",
"機電類指數","2,396.50","+","2.47","0.10",
"水泥類指數","114.30","+","0.24","0.21",
"食品類指數","1,509.91","-","5.30","-0.35",
"塑膠類指數","255.76","+","0.71","0.28",
"紡織纖維類指數","487.03","-","0.23","-0.05",
"電機機械類指數","172.03","+","0.96","0.56",
"電器電纜類指數","41.90","+","0.11","0.26",
"化學生技醫療類指數","97.69","+","0.33","0.34",
"化學類指數","99.83","+","0.36","0.36",
"生技醫療類指數","67.12","+","0.22","0.33",
"玻璃陶瓷類指數","37.95","+","0.32","0.85",
"造紙類指數","212.14","+","1.89","0.90",
"鋼鐵類指數","99.17","+","0.10","0.10",
"橡膠類指數","317.32","+","0.39","0.12",
"汽車類指數","280.86","-","6.85","-2.38",
"電子類指數","426.85","+","0.37","0.09",
"半導體類指數","147.83","+","0.10","0.07",
"電腦及週邊設備類指數","104.98","+","0.03","0.03",
"光電類指數","44.06","+","0.21","0.48",
"通信網路類指數","126.15","-","0.12","-0.10",
"電子零組件類指數","90.53","+","0.30","0.33",
"電子通路類指數","115.76","+","0.01","0.01",
"資訊服務類指數","91.94","+","0.48","0.52",
"其他電子類指數","107.55","-","0.03","-0.03",
"建材營造類指數","263.87","+","0.85","0.32",
"航運類指數","63.26","-","0.06","-0.09",
"觀光類指數","125.77","+","0.31","0.25",
"金融保險類指數","1,105.27","+","2.19","0.20",
"貿易百貨類指數","228.05","-","1.03","-0.45",
"油電燃氣類指數","133.66","-","0.63","-0.47",
"其他類指數","251.26","+","0.05","0.02",
"臺指日報酬兩倍指數","15,021.64","+","16.61","0.11",
"臺指日報酬反向一倍指數","7,829.05","-","4.34","-0.06",
"電子類兩倍槓桿指數","12,427.60","+","21.53","0.17",
"電子類反向指數","8,336.67","-","7.24","-0.09",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","13,001.41","+","16.22","0.12",
"發行量加權股價報酬指數","16,749.09","+","9.27","0.06",
"臺灣公司治理100報酬指數","6,195.93","-","5.78","-0.09",
"臺灣50報酬指數","--"," ","--","--",
"臺灣中型100報酬指數","--"," ","--","--",
"臺灣資訊科技報酬指數","--"," ","--","--",
"臺灣發達報酬指數","--"," ","--","--",
"臺灣高股息報酬指數","--"," ","--","--",
"臺灣就業99報酬指數","7,283.90","+","7.27","0.10",
"臺灣高薪100報酬指數","6,170.79","+","0.77","0.01",
"臺灣低波動高股息報酬指數","3,156.42","+","4.11","0.13",
"未含金融電子股報酬指數","19,392.85","-","11.00","-0.06",
"小型股300報酬指數","6,298.45","+","27.23","0.43",
"漲升股利150報酬指數","6,023.14","-","2.38","-0.04",
"漲升股利100報酬指數","5,996.69","-","3.04","-0.05",
"藍籌 30 報酬指數","5,336.02","+","1.62","0.03",
"工業菁英 30 報酬指數","5,561.41","+","15.85","0.29",
"電子菁英 30 報酬指數","5,624.61","+","12.52","0.22",
"低波動精選 30 報酬指數","5,269.65","-","1.09","-0.02",
"低貝塔 100 報酬指數","5,368.63","-","6.78","-0.13",
"中小型精選50報酬指數","5,077.98","+","9.97","0.20",
"中小型A級動能50報酬指數","5,509.43","+","46.10","0.84",
"水泥類報酬指數","166.90","+","0.35","0.21",
"食品類報酬指數","1,852.15","-","6.49","-0.35",
"塑膠類報酬指數","341.58","+","0.95","0.28",
"紡織纖維類報酬指數","638.05","-","0.29","-0.05",
"電機機械類報酬指數","221.29","+","1.23","0.56",
"電器電纜類報酬指數","49.05","+","0.14","0.29",
"化學生技醫療類報酬指數","126.66","+","0.44","0.35",
"化學類報酬指數","133.74","+","0.47","0.35",
"生技醫療類報酬指數","81.96","+","0.27","0.33",
"玻璃陶瓷類報酬指數","41.00","+","0.34","0.84",
"造紙類報酬指數","263.62","+","2.36","0.90",
"鋼鐵類報酬指數","131.30","+","0.13","0.10",
"橡膠類報酬指數","413.73","+","0.51","0.12",
"汽車類報酬指數","357.15","-","8.72","-2.38",
"電子類報酬指數","646.95","+","0.57","0.09",
"半導體類報酬指數","214.21","+","0.15","0.07",
"電腦及週邊設備類報酬指數","167.56","+","0.05","0.03",
"光電類報酬指數","54.90","+","0.25","0.46",
"通信網路類報酬指數","210.63","-","0.21","-0.10",
"電子零組件類報酬指數","135.96","+","0.45","0.33",
"電子通路類報酬指數","194.42"," ","--","--",
"資訊服務類報酬指數","156.28","+","0.82","0.53",
"其他電子類報酬指數","135.71","-","0.03","-0.02",
"建材營造類報酬指數","385.26","+","1.24","0.32",
"航運類報酬指數","78.67","-","0.08","-0.10",
"觀光類報酬指數","146.31","+","0.37","0.25",
"金融保險類報酬指數","1,491.71","+","2.96","0.20",
"貿易百貨類報酬指數","285.79","-","1.30","-0.45",
"油電燃氣類報酬指數","168.13","-","0.78","-0.46",
"其他類報酬指數","345.64","+","0.08","0.02",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","43,102,670,343","1,237,615,324","459,878",
"2.台灣存託憑證","11,643,005","2,464,239","480",
"3.受益憑證","0","0","0",
"4.ETF","1,416,114,276","77,002,725","15,131",
"5.受益證券","1,697,450","119,000","30",
"6.變更交易股票","7,960,730","3,491,973","650",
"7.認購(售)權證","1,548,742,400","1,477,101,000","46,709",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"證券合計(1+6)","43,110,631,073","1,241,107,297","460,528",
"總計(1~12)","46,088,828,204","2,797,794,261","522,878",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","2,703(6)","502(6)",
"下跌(跌停)","2,408(11)","258(0)",
"持平","600","121",
"未成交","4,942","14",
"無比價","729","1",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
"無比價"含當日除權、除息、新上市、恢復交易者。",
"不加計外幣交易證券交易金額。",

